DYS-123	Sydowimide A
DYS-124	Diorcinolic acid
DYS-125	Diorcinol
DYS-125	"3,3'-oxybis(5-methylphenol)"
DYS-125	"3,3'-dihydroxy-5,5'-dimethyldiphenyl ether"
DYS-125	Dyorcinol
DYS-301	3-(3-methoxy-5-methylphenoxy)-5-methylphenol
DYS-301	Cordyol E
DYS-301	"3'-Methoxy-[1,1'-oxybis(5-methylbenzene)]-3-ol"
DYS-302	"5,5'-oxybis(1-methoxy-3-methylbenzene)"
DYS-131	Serine sydonate
DYS-129	(7S)-(âˆ’)-10-Hydroxysydonic Acid
DYS-130	(R)-(-)-Hydroxy-sydonic acid
DYS-133	Sydonic acid
DYS-133	(+)-(7S)-sydonic acid
DYS-133	S-Sydonic acid
DYS-102	Roseopurpurin A
DYS-103	Roseopurpurin B
DYS-104	Roseopurpurin C
DYS-105	Aculeatusquinone C
DYS-132	Orsellinic acid
DYS-132	Orsellic acid
DYS-132	"2,4-Dihydroxy-6-methylbenzoic acid"
DYS-132	Orcinolcarboxylic acid
DYS-132	Orsellinate
DYS-132	Orsellinsaeure
DYS-134	Macrolactin A
DYS-134	Macrolactin-A
DYS-134	(-)-Macrolactin A
DYS-135	Macrolactin U
